Year,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Category,Topic,Indicator,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,LowConfidenceLimit,HighConfidenceLimit,Break_Out_Category,Break_Out,CategoryId,TopicId,IndicatorID,Data_Value_TypeID,BreakOutCategoryId,BreakOutId,LocationID,GeoLocation
2009,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,Percent (%),25.9,25.9,,,23.7,28.2,Gender,Male,C2,T15,NS010,AgeStdz,BOC02,GEN01,9002,
2009,SOU,South,NHIS,None,None,Healthy People 2020,None,Risk Factors,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,Percent (%),37.6,37.6,,,34.9,40.3,Race,Non-Hispanic Black,C2,T14,NS011,Crude,BOC04,RAC02,9003,
2009,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,Percent (%),2.6,2.6,,,2.1,3.3,Gender,Female,C1,T6,NS004,Crude,BOC02,GEN02,9002,
2013,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Crude,Percent (%),9.0,9.0,,,8.5,9.7,Overall,Overall,C1,T1,NS001,Crude,BOC01,OVR01,9003,
2010,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),23.4,23.4,,,19.9,27.4,Age,18-24,C2,T15,NS010,Crude,BOC03,AGE01,9002,
2012,SOU,South,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,Percent (%),3.4,3.4,,,2.9,4.0,Gender,Female,C1,T6,NS004,Crude,BOC02,GEN02,9003,
2003,MDW,Midwest,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Crude,Percent (%),2.4,2.4,,,2.0,2.9,Gender,Female,C1,T4,NS002,Crude,BOC02,GEN02,9002,
2002,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,Percent (%),2.2,2.2,,,1.8,2.6,Race,Non-Hispanic White,C1,T6,NS004,Crude,BOC04,RAC01,9002,
2004,SOU,South,NHIS,None,None,None,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,75+,C2,T9,NS013,Crude,BOC03,AGE08,9003,
2010,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,Percent (%),13.0,13.0,,,11.2,15.1,Race,Hispanic,C2,T15,NS010,AgeStdz,BOC04,RAC04,9003,
2006,SOU,South,NHIS,None,None,Healthy People 2020,None,Risk Factors,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,Percent (%),45.2,45.2,,,42.4,47.9,Gender,Female,C2,T14,NS011,AgeStdz,BOC02,GEN02,9003,
2010,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),15.9,15.9,,,11.7,21.1,Race,Hispanic,C2,T15,NS010,Crude,BOC04,RAC04,9002,
2003,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),23.3,23.3,,,21.6,25.1,Age,45-64,C2,T15,NS010,Crude,BOC03,AGE05,9003,
2015,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),18.2,18.2,,,13.0,25.0,Race,Other,C2,T15,NS010,Crude,BOC04,RAC07,9003,
2004,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,Percent (%),2.5,2.5,,,2.1,3.0,Race,Non-Hispanic White,C1,T6,NS004,Crude,BOC04,RAC01,9002,
2008,MDW,Midwest,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Crude,Percent (%),2.7,2.7,,,2.0,3.5,Gender,Female,C1,T4,NS002,Crude,BOC02,GEN02,9002,
2011,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,Percent (%),3.5,3.5,,,3.0,4.1,Age,35+,C1,T6,NS004,Crude,BOC03,AGE07,9002,
